Date,Open,High,Low,Close,Adj Close,Volume
2018-06-30,null,null,null,null,null,null
2018-07-31,1949.949951,2092.000000,1945.000000,2078.399902,2052.981445,42262355
2018-08-31,2084.800049,2211.899902,2018.150024,2183.699951,2156.993652,44640172
2018-09-30,2190.899902,2275.949951,1784.349976,1938.150024,1914.446777,68060513
2018-10-31,1943.650024,1997.000000,1784.500000,1968.250000,1948.273804,52728186
2018-11-30,1984.000000,2029.699951,1870.250000,1893.050049,1873.837158,49342879
2018-12-31,1896.000000,2019.750000,1808.000000,2014.099976,1993.658569,69895226
2019-01-31,2009.500000,2097.949951,1881.300049,1983.449951,1967.527832,62771882
2019-02-28,1995.050049,2068.949951,1958.050049,2001.650024,1985.581787,53475963
2019-03-31,2010.000000,2266.949951,2007.000000,2260.350098,2242.205078,67089639
2019-04-30,2260.350098,2260.350098,2032.250000,2196.550049,2178.917236,60480344
2019-05-31,2201.000000,2292.500000,2142.100098,2227.199951,2209.321045,46280351
2019-06-30,2235.000000,2258.800049,2104.550049,2133.350098,2133.350098,18036354
2019-07-10,0.000000,2127.850098,2071.300049,2108.199951,2108.199951,6342153
