Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
12-Jul-19, FORTIS, EQ,128.4,129.15,127.7,128.6,128.9,200037,257.62
11-Jul-19, FORTIS, EQ,129.2,129.35,128,128.8,128.35,473229,607.7
10-Jul-19, FORTIS, EQ,129.35,130.15,127.2,129,128.7,562637,722.68
09-Jul-19, FORTIS, EQ,130.5,131.1,129.25,129.65,129.8,296994,386.33
08-Jul-19, FORTIS, EQ,132.1,132.65,129.75,130.45,130.55,921556,1200.9
05-Jul-19, FORTIS, EQ,133.15,133.6,132,132.6,132.7,611323,809.27
04-Jul-19, FORTIS, EQ,133.2,134.6,133.05,133.8,133.8,257284,344.08
03-Jul-19, FORTIS, EQ,132.7,133.7,130.6,133.15,133.45,359871,477.6
02-Jul-19, FORTIS, EQ,133.7,134.2,132.55,133,132.85,346087,460.79
01-Jul-19, FORTIS, EQ,130.15,133.5,130,133.05,132.85,684086,904.57
28-Jun-19, FORTIS, EQ,129.9,130.95,128.8,130,130.1,1731499,2251.9
27-Jun-19, FORTIS, EQ,129.2,130.5,128.75,129.95,129.75,480088,623.46
26-Jun-19, FORTIS, EQ,128.8,130.1,128.1,129.1,129.4,1104106,1424.71
25-Jun-19, FORTIS, EQ,129,129.4,128.1,129.05,129,968578,1247.22
24-Jun-19, FORTIS, EQ,128.2,129.95,127.5,129.6,129.25,490926,631.5
21-Jun-19, FORTIS, EQ,131.4,131.4,127.75,128,129.2,996246,1291.71
20-Jun-19, FORTIS, EQ,133,133.45,130.7,131.35,131.15,326509,429.34
19-Jun-19, FORTIS, EQ,131.05,134,130.45,133.6,132.75,805612,1064.05
18-Jun-19, FORTIS, EQ,129.55,131.8,129,131.05,131.05,698124,911.43
17-Jun-19, FORTIS, EQ,131.9,132.5,128.75,129.5,129.55,480092,624.45
14-Jun-19, FORTIS, EQ,131.2,131.75,130.35,131,131,241735,316.75
13-Jun-19, FORTIS, EQ,131,132.5,129.6,131.45,131.2,395201,517.25
12-Jun-19, FORTIS, EQ,131.1,132.4,129.3,131.25,131.15,657288,858.34
11-Jun-19, FORTIS, EQ,128,134.8,127.6,132.05,132.55,4156157,5455.2
10-Jun-19, FORTIS, EQ,123.4,129.45,122,128.1,127.25,6609709,8119.94
07-Jun-19, FORTIS, EQ,122.4,123.6,121.25,122.45,122.45,619871,759.17
06-Jun-19, FORTIS, EQ,124.3,124.4,121.85,122,122.15,759033,930.43
04-Jun-19, FORTIS, EQ,124.9,126.3,123.45,123.8,124,822997,1024.68
03-Jun-19, FORTIS, EQ,125.1,125.35,124.1,124.7,124.95,441725,551.53
31-May-19, FORTIS, EQ,126.1,126.2,124.5,125.1,125.3,457788,573.93
30-May-19, FORTIS, EQ,126.1,126.8,125.7,126,126.15,859892,1086.92
29-May-19, FORTIS, EQ,127.4,127.65,126.3,126.95,126.5,1178109,1496.08
28-May-19, FORTIS, EQ,128.85,128.9,127,127.25,127.25,673066,859.7
27-May-19, FORTIS, EQ,127.05,132,127.05,128.1,128.25,2442613,3168.02
24-May-19, FORTIS, EQ,125.95,126.15,125,125.55,125.45,690945,868.67
23-May-19, FORTIS, EQ,125.95,126.9,125,125.6,125.85,947812,1194.22
22-May-19, FORTIS, EQ,125.9,126.5,124.7,125.8,125.95,771592,969.25
21-May-19, FORTIS, EQ,126.9,128.35,125.4,125.4,125.8,1217275,1539.54
20-May-19, FORTIS, EQ,128,129.9,126.15,126.85,126.75,1439227,1830.51
17-May-19, FORTIS, EQ,127.5,127.9,126.15,127,126.9,611010,775.54
16-May-19, FORTIS, EQ,128.35,128.85,127.2,128.3,128,400373,512.15
15-May-19, FORTIS, EQ,129.5,130.65,127.95,128.05,128.45,409685,528.95
14-May-19, FORTIS, EQ,129.15,130.7,127.9,129.9,129.6,801754,1035.76
13-May-19, FORTIS, EQ,131.1,132.05,129.2,129.8,129.7,412786,538.71
10-May-19, FORTIS, EQ,133.05,133.6,131,131.5,131.9,868778,1151.55
09-May-19, FORTIS, EQ,133.6,133.75,132.3,133.05,133,959494,1275.07
08-May-19, FORTIS, EQ,135.35,135.75,133.3,133.5,133.6,377871,506.94
07-May-19, FORTIS, EQ,136,136.7,135,135.35,135.2,165465,224.93
06-May-19, FORTIS, EQ,137.15,137.75,135.6,135.85,136.35,175876,240.63
03-May-19, FORTIS, EQ,137.85,138.45,137.3,137.55,137.75,134430,185.33
02-May-19, FORTIS, EQ,138.9,138.9,137,137.7,137.85,238818,328.81
30-Apr-19, FORTIS, EQ,138.15,139.1,137,138.85,138.55,485562,670.01
26-Apr-19, FORTIS, EQ,139.4,139.7,138.5,139,139.1,308156,428.33
25-Apr-19, FORTIS, EQ,139,140.1,138.6,138.95,138.95,516366,719.85
24-Apr-19, FORTIS, EQ,139.9,139.9,139,139,139.15,444148,618.23
23-Apr-19, FORTIS, EQ,139.65,140.7,138.5,139.2,139.5,549528,766.04
22-Apr-19, FORTIS, EQ,139.6,140.35,139.2,139.5,139.55,380870,531.96
18-Apr-19, FORTIS, EQ,141.4,141.4,139,140.1,140.4,581496,814.7
16-Apr-19, FORTIS, EQ,141.9,141.9,139.85,140.75,141.15,441128,622.18
15-Apr-19, FORTIS, EQ,139.15,141.8,138.75,140.9,141.1,950881,1338.13
